koi_disposition,orbital_period,transit_duration,transit_depth,planet_radius,stellar_logg,stellar_radius,insolation,eq_temp,mag,model_snr,ra,dec,mission,stellar_teff
FALSE POSITIVE,20.5452375,2.517,218.5,2.41,4.206,1.264,71.57,742,12.003,18.5,294.40192,50.172089,Kepler,
CONFIRMED,33.60123371,4.4056,7425.9,8.46,4.447,0.93,14.22,495,15.262,247.9,289.26874,42.604172,Kepler,
CONFIRMED,6.76652928,2.9004,450.7,1.97,4.447,0.93,120.48,845,15.262,29.2,289.26874,42.604172,Kepler,
CONFIRMED,4.347288783,2.1024,451.6,2.36,4.345,1.122,449.79,1174,15.024,39.7,291.96417,42.69614,Kepler,
CONFIRMED,4.601811819,2.2607,755.9,2.35,4.496,0.833,152.91,896,15.024,60.8,296.48343,42.663429,Kepler,
CONFIRMED,11.18719905,3.252,353.6,1.55,4.496,0.833,46.65,667,15.024,21.9,296.48343,42.663429,Kepler,
CONFIRMED,4.220965778,3.0854,2260,2.62,4.747,0.517,29.68,595,15.692,157.8,296.69394,42.62611,Kepler,
FALSE POSITIVE,6.998099523,2.0488,20285,588.66,4.566,0.829,125.22,853,15.877,192.3,287.88412,42.832439,Kepler,
CONFIRMED,5.95489993,2.3892,1410.7,2.33,4.641,0.633,38.52,635,15.019,87.2,293.63696,42.82497,Kepler,
CONFIRMED,12.03987488,2.7363,1250.6,2.18,4.641,0.633,15.06,502,15.019,57.6,293.63696,42.82497,Kepler,
CONFIRMED,20.83762895,2.3734,439,1.42,4.641,0.633,7.24,418,15.019,14.9,293.63696,42.82497,Kepler,
