toi,tid,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,koi_disposition
6701.01,349789882,113.362847,-62.485985,-7.391,11.417,2459972.535,10.018102,2.6562286,1791.212435,12.3167818,703.2874741,1313.418019,11.3908,619.711,6697,4.21,2.0266299,CANDIDATE
6702.01,179442778,80.323733,-66.833206,21.047,30.102,2459036.541,2.1874712,6.154356,768.888544,3.3333783,200.423599,959.6369543,12.9757,188.499,4454,4.59483,0.698505,CANDIDATE
6703.01,255560319,96.071638,-53.575693,-39.515,57.25,2458365.827,49.6178223,14.0758927,88.0818849,2.4730956,72.767119,744.9095545,8.4379,151.189,5494.7,3.63775,2.46205,CANDIDATE
6704.01,342449055,123.998559,-59.327035,-1.585,-3.482,2459229.783,2.8607384,1.8963897,928.4712689,10.50417995,642.271264,1283.953728,10.746,370.553,5780,4.438,1.23,CANDIDATE
6704.02,342449055,123.998559,-59.327035,-1.585,-3.482,2459235.556,6.8275101,3.2903924,1559.477021,5.0896772,201.3753096,960.7741393,10.746,370.553,5780,4.438,1,CANDIDATE
6705.01,379717270,220.003903,-52.910049,0.761,-9.097,2459336.341,8.4457042,1.6861879,3848.717917,21.1100738,1720.413818,1642.585482,10.2734,478.245,6392,3.5,2.8927801,CANDIDATE
6706.01,411731278,214.272868,-55.521705,-40.701,-10.149,2458597.457,7.5757446,1.8699103,3661.669603,12.6097244,1238.973852,1513.161507,8.239,168.118,8044,4.17155,1.89254,CANDIDATE
6707.01,287328202,109.763471,-58.115526,-3.094,28.491,2459966.304,3.8347282,3.4951108,1112.338876,5.6648123,1226.786237,1509.42651,12.3332,641.467,6088.34,4.09655,1.58202,CANDIDATE
6708.01,269849065,69.144564,-81.292943,78.376,161.635,2458326.157,4.2290856,1.8943522,2605.430842,1.915198,8.895495,440.4658878,12.8676,49.5741,3264,4.90343,0.320782,CANDIDATE
6709.01,20375215,167.608218,-29.414302,-9.948,-74.913,2458544.543,2.3477336,1.8624266,182.9434914,1.0903541,215.4979378,977.1934094,8.8392,39.7429,4799,4.66766,0.678033,CANDIDATE
6710.01,143842198,118.916232,-43.356714,-1.072,-22.189,2458491.707,2.067123,1.9263234,394.2384169,1.5139896,381.7544649,1127.368201,9.7367,75.1812,5113.3,4.77,0.758633,CANDIDATE
6711.01,303364023,138.38301,-69.304692,-151.783,136.245,2458543.252,10.3469945,2.5934713,1601.254739,1.0318727,2.106641,307.2680329,13.0055,42.3968,3278,4.97813,0.256167,FALSE POSITIVE
6712.01,192943720,154.949388,-28.96236,40.895,0.637,2458544.225,1.8987896,1.926234,98.2034719,2.2042465,5729.747613,2218.9812,7.71299,114.978,6016.28,3.81004,2.17401,CANDIDATE
6713.01,428673146,179.792354,-20.355606,141.869,-423.911,2458571.522,2.1538049,1.6541007,137.9312313,0.8814471,331.6009868,1088.362835,7.0276,20.3632,4944.24,4.58767,0.757603,CANDIDATE
6715.01,460950389,159.157968,-64.798231,-17.585,10.299,2460014.969,2.8618782,2.2839791,2450.989996,3.9033641,220.0858555,982.3534679,11.649,150.336,4743,4.51969,0.793587,CANDIDATE
6716.01,112115898,111.657082,-30.55218,-316.472,58.995,2458495.166,4.718569,1.1450785,1734.867395,1.0102426,4.6540316,374.6080294,11.7735,18.8873,3190,5.01971,0.226654,CANDIDATE
6717.01,34986694,164.325075,-4.674414,-145.923,-198.491,2459281.318,0.4707476,0.5009607,5060.833528,1.852907,105.0615662,816.5461157,13.9087,53.7293,3254,5.0301,0.219973,CANDIDATE
6718.01,405428714,357.366601,-78.932968,-9.541,-6.452,2460126.814,2.9532145,3.9795532,3110.689079,10.2396383,1856.624045,1674.174575,11.529,464.958,5483.2,4.3,1.68056,CANDIDATE
6719.01,92449173,314.575438,-35.796622,12.088,-8.249,2460155.277,2.1764875,3.4403723,8114.682956,14.184839,2054.795607,1717.164521,12.2247,559.084,5646,4.05052,1.56233,CONFIRMED
672.01,151825527,167.990863,-39.328115,85.141,-74.728,2458546.479,3.6335834,1.8069693,8668.442049,5.1614854,33.4741636,613.4754434,11.6739,66.9071,3765,4.75169,0.544068,CONFIRMED
6720.01,281541545,6.613593,-56.34428,42.581,8.264,2460158.118,4.1470359,2.3197694,12886.98799,8.6285404,90.5320647,786.7202987,13.7813,324.413,4247,4.47839,0.775548,CONFIRMED
6721.01,253917292,337.48912,-31.929085,15.396,-8.875,2460156.71,4.6086414,3.5610971,27081.69858,17.9837961,373.2657632,1121.048208,13.6732,784.252,5693,4.37269,1.08355,CANDIDATE
6722.01,220524097,42.467198,-62.723587,7.434,-47.669,2460156.166,3.9613114,2.5843337,15578.11369,9.2319785,164.6967384,913.6734375,13.6157,449.618,5221,4.64701,0.741696,CANDIDATE
6723.01,370010846,46.987523,-66.111186,3.925,-4.85,2460156.827,3.4852362,3.0318968,14856.89726,12.6093335,494.0825841,1202.457225,13.8564,822.224,5728,4.42477,1.02553,CANDIDATE
6724.01,261646133,19.06757,-79.893899,50.39,8.638,2460117.812,42.8614655,7.635,908,4.13549,24.431,619,10.4225,250.491,5703.4,4.04,1.61,CANDIDATE
6725.01,150320610,95.61935,-63.697716,43,262,2460193.054,2.1476974,1.669,136,10.50417995,355.909,1175.803988,9.755,51.9242,5788.7,4.33418,1.23,CANDIDATE
6726.01,121490076,343.572379,-43.010229,2.012,27.564,2460160.496,14.2456603,3.403,1084,3.68209,180.487,1021,8.9988,46.2122,4760,4.57,0.76,CONFIRMED
6727.01,47482754,342.732459,-29.809107,-25.974,-53.359,2460199.01,15.3471548,3.703,946,2.53444,48.0518,733,10.1172,136.505,5791,4.53,0.92,CANDIDATE
6728.01,287326127,109.777497,-55.837843,17.109,-3.021,2460190.897,24.9636551,5.444,461,4.53167,58.006,768,9.608,337.672,6388,3.71291,2.61,CANDIDATE
6729.01,426032475,45.310382,-75.203308,56.917,41.741,2460194.739,7.8374554,4.754,188,2.26966,467.43,1295,9.0529,186.378,6289.7,3.99,1.86,CANDIDATE
6729.02,426032475,45.310382,-75.203308,56.917,41.741,2460204.992,3.8638303,2.992,109,1.80822,795.693,1479,9.0529,186.378,6289.7,3.99,1.86,CANDIDATE
673.01,151959065,168.998428,-36.459406,-16.179,-0.612,2458551.635,10.5426254,6.2145259,16789.80761,22.0104106,437.1833461,1166.233875,11.955,677.796,6114,4.28439,1.65817,FALSE POSITIVE
6730.01,382521776,12.358885,-53.914944,23.28,-12.116,2460186.072,4.3934744,3.0547623,11541.70994,10.511208,270.8235342,1034.644968,12.8021,432.935,5349,4.4,0.977886,CANDIDATE
6731.01,9032367,355.911751,-11.272631,16.965,-13.762,2460183.748,1.631858,1.8201336,17812.02198,11.400179,489.1342881,1199.435163,14.3604,566.544,4778,4.51281,0.805143,CANDIDATE
6732.01,349891396,274.39888,-53.01713,-19.232,-3.732,2460121.499,1.3003394,1.341,38320,12.0407,99.5651,880,14.2548,234.672,3658,4.67,0.58,CANDIDATE
6733.01,221566773,248.404924,-56.556132,-3.035,-4.979,2460118.586,3.2529571,4.813,6055,15.5894,3031.39,2067,12.8086,1196.73,6623,3.89,2.21,CANDIDATE
6734.01,412666676,262.96928,-48.371167,5.751,-10.414,2460114.259,4.6068687,3.286,15647,12.7334,379.623,1229,13.0013,544.063,5917,4.4,1.08,CANDIDATE
6735.01,76899250,271.142485,-58.014464,3.68,-14.192,2460123.698,3.3357969,1.39,5024,11.1895,304.514,1163,12.533,768.537,6517,4.21,1.5,CANDIDATE
6736.01,324150445,275.653906,-41.476441,-7.742,-2.424,2460121.987,2.9879341,2.501,14088,11.6667,346.683,1202,13.3991,531.546,5315,4.43,0.96,CANDIDATE
